contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW251007C06375000,2025-09-02 16:41:55+00:00,6375.0,125.34,176.7,178.1,0.0,0.0,1,1,0.15435873725891117,True,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06400000,2025-09-05 17:03:17+00:00,6400.0,153.48,157.1,158.5,-18.529999,-10.772629,14,16,0.14863674858093262,True,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06425000,2025-09-02 16:41:55+00:00,6425.0,94.56,138.2,139.6,0.0,0.0,1,2,0.14299677507400513,True,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06475000,2025-09-05 18:25:01+00:00,6475.0,97.6,103.0,104.4,-13.650002,-12.269665,3,12,0.13210783061981202,True,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06500000,2025-09-05 17:48:47+00:00,6500.0,81.47,87.0,88.5,-8.869995,-9.818459,9,17,0.12710109052658078,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06525000,2025-09-05 13:49:23+00:00,6525.0,101.72,72.5,73.9,21.57,26.912039,4,1,0.12241096714019777,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06550000,2025-09-05 19:47:24+00:00,6550.0,59.13,59.3,60.7,-15.749996,-21.03365,55,50,0.11804318244934081,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06575000,2025-09-05 14:12:42+00:00,6575.0,61.5,47.7,49.1,23.599998,62.269123,1,5,0.11418274742126466,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06600000,2025-09-05 19:43:12+00:00,6600.0,37.57,37.7,39.0,-12.68,-25.233831,187,39,0.11065037307739259,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06625000,2025-09-05 19:26:16+00:00,6625.0,31.02,29.3,30.5,-5.579998,-15.245896,105,49,0.10762344106674193,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06650000,2025-09-05 19:43:12+00:00,6650.0,22.43,22.3,23.4,-2.0699997,-8.448978,8,20,0.10488833047866822,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06675000,2025-09-05 15:32:16+00:00,6675.0,17.6,16.6,17.7,2.8900003,19.646502,19,7,0.10263195960998533,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06700000,2025-09-04 14:40:09+00:00,6700.0,23.0,12.2,13.2,10.3,81.10236,8,244,0.10076277664184571,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06725000,2025-09-05 15:37:35+00:00,6725.0,9.07,8.9,9.3,1.0699997,13.374996,59,12,0.0980581833267212,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06800000,2025-09-05 19:55:02+00:00,6800.0,3.35,3.1,3.7,-0.13000011,-3.7356355,55,13,0.09673449661254885,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
SPXW251007C06900000,2025-09-05 16:02:19+00:00,6900.0,1.26,0.8,1.4,0.13999999,12.499998,2,10,0.10186139846801759,False,REGULAR,USD,call,^SPX,2025-10-07,2025-09-06 12:54:49.155084,options
