contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW250909P02600000,2025-08-07 16:46:29+00:00,2600.0,0.1,0.0,0.05,0.0,0.0,,4,2.3515666210937494,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P03200000,2025-08-20 14:16:35+00:00,3200.0,0.1,0.0,0.05,0.0,0.0,1.0,2,1.8359383203124997,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P03400000,2025-08-18 14:09:47+00:00,3400.0,0.1,0.0,0.05,0.0,0.0,16.0,76,1.6796891015625,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P03600000,2025-08-15 20:08:14+00:00,3600.0,0.25,0.0,0.05,0.0,0.0,,25,1.5390648046875,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P03800000,2025-08-28 04:02:29+00:00,3800.0,0.05,0.0,0.05,0.0,0.0,1.0,8,1.40625296875,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P04000000,2025-09-02 01:03:00+00:00,4000.0,0.05,0.0,0.05,0.0,0.0,4.0,122,1.2734411328124997,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P04200000,2025-09-02 19:08:28+00:00,4200.0,0.05,0.0,0.05,0.0,0.0,56.0,272,1.15234798828125,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P04400000,2025-09-03 18:31:27+00:00,4400.0,0.05,0.0,0.05,0.0,0.0,70.0,101,1.0351610742187503,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P04600000,2025-09-03 20:08:32+00:00,4600.0,0.05,0.0,0.05,0.0,0.0,403.0,1100,0.92187578125,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P04800000,2025-09-04 17:10:31+00:00,4800.0,0.05,0.0,0.1,0.0,0.0,2.0,81,0.8535170898437501,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05000000,2025-09-04 19:33:31+00:00,5000.0,0.05,0.0,0.05,0.0,0.0,262.0,1026,0.70898728515625,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05100000,2025-09-05 19:14:05+00:00,5100.0,0.05,0.0,0.1,0.0,0.0,290.0,530,0.6914093359375001,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05200000,2025-09-05 20:09:23+00:00,5200.0,0.05,0.0,0.1,0.0,0.0,199.0,1476,0.63867548828125,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05300000,2025-09-05 17:31:28+00:00,5300.0,0.1,0.0,0.1,0.05,100.0,376.0,559,0.585941640625,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05400000,2025-09-05 20:04:06+00:00,5400.0,0.05,0.0,0.15,-0.05,-50.0,55.0,725,0.55273884765625,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05425000,2025-09-05 20:04:36+00:00,5425.0,0.05,0.0,0.15,-0.05,-50.0,2.0,1092,0.5400436621093752,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
SPXW250909P05450000,2025-09-05 20:07:08+00:00,5450.0,0.05,0.0,0.15,-0.05,-50.0,912.0,46,0.5273484765625001,False,REGULAR,USD,put,^SPX,2025-09-09,2025-09-06 10:53:37.460523,options
