contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX251017P00200000,2025-08-15 15:54:24+00:00,200.0,0.03,0.0,0.0,0.0,0.0,40.0,233,0.500005,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P00400000,2025-08-25 14:55:53+00:00,400.0,0.03,0.0,0.0,0.0,0.0,2.0,526,0.500005,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P00600000,2025-08-25 14:43:34+00:00,600.0,0.03,0.0,0.0,0.0,0.0,12.0,2334,0.500005,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P00800000,2025-08-25 14:42:37+00:00,800.0,0.03,0.0,0.15,0.0,0.0,6.0,2091,1.759766826171875,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P01000000,2025-08-27 14:33:35+00:00,1000.0,0.05,0.0,0.15,0.0,0.0,2.0,4056,1.5703146484375,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPXW251017P01200000,2025-08-22 14:02:07+00:00,1200.0,0.1,0.0,0.15,0.0,0.0,2.0,243,1.4179716601562502,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPXW251017P01400000,2025-09-04 16:45:21+00:00,1400.0,0.04,0.0,0.15,0.0,0.0,4.0,275,1.291019169921875,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPXW251017P01600000,2025-09-02 13:45:21+00:00,1600.0,0.05,0.0,0.2,0.0,0.0,2.0,161,1.203128984375,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P01800000,2025-09-05 19:29:40+00:00,1800.0,0.1,0.0,0.2,0.0,0.0,12.0,1813,1.1035201074218752,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPXW251017P02000000,2025-09-04 15:09:27+00:00,2000.0,0.05,0.0,0.25,0.0,0.0,2.0,483,1.0312548437500002,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02200000,2025-08-29 15:59:52+00:00,2200.0,0.15,0.0,0.25,0.10000001,200.00003,10.0,7479,0.9501958105468749,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02300000,2025-09-02 14:02:59+00:00,2300.0,0.15,0.0,0.25,0.0,0.0,1.0,1759,0.91211025390625,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPXW251017P02400000,2025-08-20 19:43:58+00:00,2400.0,0.25,0.0,0.3,0.0,0.0,2.0,245,0.8876964355468748,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02500000,2025-09-02 17:30:43+00:00,2500.0,0.25,0.0,0.3,0.0,0.0,4.0,7167,0.852540537109375,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02600000,2025-08-26 19:44:32+00:00,2600.0,0.25,0.0,0.3,0.0,0.0,208.0,1781,0.8188494677734374,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02700000,2025-09-05 16:24:20+00:00,2700.0,0.16,0.0,0.35,-0.040000007,-20.000004,6.0,682,0.7954122021484374,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
SPX251017P02800000,2025-09-04 15:34:15+00:00,2800.0,0.2,0.0,0.35,0.0,0.0,3.0,2031,0.76367423828125,False,REGULAR,USD,put,^SPX,2025-10-17,2025-09-06 12:54:49.663890,options
