contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX250919P00200000,2025-08-15 15:33:16+00:00,200.0,0.03,0.0,0.0,0.0,0.0,16.0,5903,0.500005,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P00400000,2025-04-25 15:42:17+00:00,400.0,0.05,0.0,0.1,0.0,0.0,1.0,0,3.97656255859375,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P00600000,2025-06-27 19:19:59+00:00,600.0,0.03,0.0,0.0,0.0,0.0,13.0,1448,0.500005,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P00800000,2025-06-13 16:12:40+00:00,800.0,0.05,0.0,0.1,0.0,0.0,10.0,0,2.9687525781249997,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P01000000,2025-08-25 14:55:57+00:00,1000.0,0.03,0.0,0.0,0.0,0.0,2.0,29690,0.500005,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPXW250919P01200000,2025-07-16 16:58:01+00:00,1200.0,0.1,0.0,0.15,0.0,0.0,1.0,330,2.4570351074218753,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P01400000,2025-08-15 19:13:26+00:00,1400.0,0.05,0.0,0.0,0.0,0.0,1.0,7949,0.500005,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPXW250919P01600000,2025-08-11 16:54:54+00:00,1600.0,0.07,0.0,0.1,0.0,0.0,4.0,602,1.9882813085937499,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P01800000,2025-08-05 13:41:27+00:00,1800.0,0.1,0.0,0.15,0.0,0.0,25.0,20593,1.875000625,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P02000000,2025-09-04 15:41:15+00:00,2000.0,0.03,0.0,0.15,0.0,0.0,2.0,21550,1.72265763671875,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P02200000,2025-08-07 14:05:08+00:00,2200.0,0.1,0.0,0.15,0.0,0.0,15.0,9157,1.5878926855468747,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPX250919P02300000,2025-08-22 16:02:30+00:00,2300.0,0.05,0.0,0.15,0.0,0.0,10.0,2090,1.5234398828124998,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
SPXW250919P02400000,2025-08-14 13:31:18+00:00,2400.0,0.05,0.0,0.1,0.0,0.0,1.0,105,1.4257841210937499,False,REGULAR,USD,put,^SPX,2025-09-19,2025-09-06 10:53:38.776568,options
