contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW250923C06000000,2025-08-26 13:49:00+00:00,6000.0,460.41,483.9,507.7,0.0,0.0,1.0,1,0.3029244512939453,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06025000,2025-08-22 15:52:17+00:00,6025.0,477.63,459.5,483.0,0.0,0.0,1.0,1,0.29231969894409165,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06125000,2025-08-28 16:50:58+00:00,6125.0,396.63,362.5,386.5,0.0,0.0,,2,0.25559216094970705,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06300000,2025-08-19 17:51:36+00:00,6300.0,191.22,200.2,222.6,0.0,0.0,,1,0.19171950866699222,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06325000,2025-09-03 13:48:50+00:00,6325.0,165.2,178.0,194.0,0.0,0.0,2.0,30,0.16948767532348635,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06330000,2025-09-03 13:48:50+00:00,6330.0,161.06,173.7,189.7,0.0,0.0,2.0,4,0.1681143980407715,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06340000,2025-09-03 13:32:15+00:00,6340.0,157.03,165.0,181.0,0.0,0.0,1.0,3,0.16503596813201904,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06350000,2025-09-03 01:04:19+00:00,6350.0,158.1,156.5,172.5,18.36,13.138686,10.0,13,0.1622131203842163,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06360000,2025-09-02 17:27:45+00:00,6360.0,111.55,148.1,164.1,0.0,0.0,2.0,3,0.15941316059112548,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06370000,2025-09-04 13:45:13+00:00,6370.0,144.24,139.8,155.8,0.0,0.0,4.0,13,0.15662464477539065,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06375000,2025-09-02 19:03:11+00:00,6375.0,106.2,139.6,155.6,0.0,0.0,17.0,10,0.1629035736846924,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06380000,2025-09-04 15:28:30+00:00,6380.0,145.0,135.5,151.5,0.0,0.0,2.0,11,0.16141585662841795,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06390000,2025-09-03 14:50:37+00:00,6390.0,125.5,127.4,143.4,0.0,0.0,7.0,12,0.15848238376617435,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06400000,2025-09-03 13:41:20+00:00,6400.0,111.29,125.4,126.5,0.0,0.0,2.0,255,0.1387071908950806,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06410000,2025-09-02 19:02:04+00:00,6410.0,84.0,117.6,118.7,0.0,0.0,2.0,4,0.13617044258117675,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06420000,2025-09-03 18:32:08+00:00,6420.0,84.6,109.9,111.0,0.0,0.0,2.0,16,0.13355167909622193,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06425000,2025-09-05 14:01:41+00:00,6425.0,131.88,106.1,107.2,37.880005,40.29788,7.0,25,0.13222989971160887,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06430000,2025-09-05 19:49:15+00:00,6430.0,101.91,102.3,103.4,5.1900024,5.3660073,1.0,12,0.13083754913330076,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06440000,2025-09-04 19:52:33+00:00,6440.0,112.03,95.0,96.1,0.0,0.0,1.0,22,0.12836946468353266,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06450000,2025-09-05 20:13:20+00:00,6450.0,87.79,87.8,88.6,-5.510002,-5.9056826,116.0,79,0.1252338148880005,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06460000,2025-09-05 17:18:02+00:00,6460.0,80.6,80.9,82.0,-23.169998,-22.328224,39.0,48,0.12335700260162355,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06470000,2025-09-05 17:53:38+00:00,6470.0,68.1,74.2,75.3,-15.800003,-18.831945,2.0,28,0.12093850872039795,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06475000,2025-09-05 16:08:46+00:00,6475.0,69.2,70.9,72.0,-22.100006,-24.20592,10.0,36,0.11967967121124266,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
SPXW250923C06480000,2025-09-04 20:09:11+00:00,6480.0,87.8,67.7,68.8,0.0,0.0,37.0,37,0.11849331222534179,True,REGULAR,USD,call,^SPX,2025-09-23,2025-09-06 10:53:38.983538,options
