contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX260515P00200000,2025-09-04 16:15:43+00:00,200.0,0.05,0.0,0.0,0.0,0.0,2.0,5,0.500005,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P00400000,2025-07-17 14:28:34+00:00,400.0,0.15,0.0,0.3,0.0,0.0,1.0,5,1.0107471337890623,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P00600000,2025-09-05 16:02:44+00:00,600.0,0.25,0.0,0.3,-0.00999999,-3.8461502,10.0,247,0.85937640625,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P00800000,2025-08-29 16:19:40+00:00,800.0,0.5,0.25,0.55,0.0,0.0,6.0,734,0.8139667041015625,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P01000000,2025-08-13 14:36:07+00:00,1000.0,0.86,0.6,1.1,0.0,0.0,2.0,1271,0.7756370092773439,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P01200000,2025-09-05 16:02:44+00:00,1200.0,1.25,1.0,1.5,-0.049999952,-3.8461502,6.0,454,0.7261379925537108,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P01400000,2025-09-03 19:11:34+00:00,1400.0,2.17,1.45,2.15,0.0,0.0,2.0,102,0.6850617431640625,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P01600000,2025-09-02 18:58:51+00:00,1600.0,2.93,2.2,2.8,0.0,0.0,5.0,367,0.648715671081543,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P01800000,2025-09-04 14:04:05+00:00,1800.0,3.47,3.0,3.6,0.0,0.0,2.0,483,0.6144142562866212,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P02000000,2025-09-05 19:53:54+00:00,2000.0,4.23,3.8,4.7,-0.3699999,-8.043476,6.0,603,0.5827983615112304,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P02200000,2025-09-02 15:20:22+00:00,2200.0,6.37,4.9,5.8,0.0,0.0,4.0,344,0.5531660894775392,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
SPX260515P02300000,2025-09-04 18:43:50+00:00,2300.0,6.2,5.5,6.4,0.0,0.0,2.0,445,0.5388534884643555,False,REGULAR,USD,put,^SPX,2026-05-15,2025-09-06 10:53:43.035919,options
