contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX260116P00200000,2025-06-18 13:49:46+00:00,200.0,0.05,0.0,0.0,0.0,0.0,35.0,617,0.500005,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P00400000,2025-06-17 18:48:26+00:00,400.0,0.1,0.0,0.15,0.0,0.0,3.0,0,1.32422212890625,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P00600000,2025-09-05 16:07:40+00:00,600.0,0.08,0.0,0.25,0.029999997,59.999996,30.0,995,1.1679729101562502,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P00800000,2025-09-03 19:17:22+00:00,800.0,0.1,0.0,0.3,0.0,0.0,6.0,1621,1.0380907470703127,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P01000000,2025-09-03 19:39:09+00:00,1000.0,0.22,0.0,0.35,-0.030000001,-12.0,6.0,9510,0.937500625,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P01200000,2025-09-05 19:56:29+00:00,1200.0,0.3,0.2,0.5,0.050000012,20.000004,2.0,6595,0.8930674755859375,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P01400000,2025-09-05 16:07:40+00:00,1400.0,0.48,0.35,0.65,0.030000001,6.666667,21.0,1093,0.8366715551757811,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P01600000,2025-08-19 16:51:34+00:00,1600.0,1.01,0.45,0.85,0.0,0.0,,5,0.7827170166015626,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P01800000,2025-08-20 14:32:38+00:00,1800.0,1.55,0.7,1.15,0.0,0.0,,2,0.7417018017578124,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02000000,2025-09-05 18:20:35+00:00,2000.0,1.35,1.0,1.55,0.0,0.0,3.0,7193,0.7039824523925782,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02200000,2025-09-04 14:08:39+00:00,2200.0,1.85,1.4,1.95,0.0,0.0,1.0,1150,0.6671786212158206,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02300000,2025-09-05 19:25:18+00:00,2300.0,1.9,1.65,2.2,-0.7900001,-29.36803,3.0,1447,0.6503330865478516,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P02400000,2025-09-05 19:30:41+00:00,2400.0,2.2,1.95,2.45,-0.39999986,-15.38461,6.0,39,0.633914793701172,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02500000,2025-09-05 19:49:25+00:00,2500.0,2.4,2.2,2.75,-0.14999986,-5.8823476,1374.0,4117,0.6171302935791017,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P02600000,2025-09-05 14:39:54+00:00,2600.0,3.0,2.5,3.1,-0.5899999,-16.434538,2.0,65,0.6013833807373048,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02700000,2025-08-25 19:55:12+00:00,2700.0,3.5,2.75,3.3,0.0,0.0,3.0,13768,0.5831340515136718,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P02800000,2025-09-05 12:33:27+00:00,2800.0,3.3,3.2,3.7,-0.4000001,-10.810813,2.0,29,0.5691266232299804,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P02900000,2025-08-20 19:55:47+00:00,2900.0,5.0,3.5,4.2,0.0,0.0,80.0,16487,0.5541731594848633,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03000000,2025-09-05 18:32:43+00:00,3000.0,4.36,3.9,4.5,-0.009999752,-0.22882728,224.0,19270,0.5381515911865236,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03100000,2025-09-05 20:06:30+00:00,3100.0,4.6,4.3,5.0,-0.9200001,-16.666668,3.0,1560,0.5235948519897461,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03200000,2025-09-05 18:32:28+00:00,3200.0,5.3,4.8,5.5,-0.19999981,-3.6363602,136.0,3058,0.5094348373413086,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03300000,2025-09-05 11:54:43+00:00,3300.0,5.69,5.3,6.1,-0.21000004,-3.5593226,1.0,13610,0.5001575863647462,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03350000,2025-09-05 17:19:25+00:00,3350.0,6.1,5.6,6.4,-1.29,-17.456022,2.0,650,0.4931843894958497,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03400000,2025-09-05 18:32:43+00:00,3400.0,6.36,5.9,6.7,-0.44000006,-6.4705887,138.0,4761,0.48615015808105466,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03450000,2025-09-05 19:05:24+00:00,3450.0,6.6,6.2,7.0,-0.20000029,-2.9411805,20.0,196,0.4790701507568359,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03500000,2025-09-05 19:55:43+00:00,3500.0,6.8,6.5,7.3,-0.5999999,-8.108107,505.0,4509,0.47192910888671874,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03550000,2025-09-04 16:39:12+00:00,3550.0,7.6,6.8,7.6,0.0,0.0,43.0,368,0.46475754974365235,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P03600000,2025-09-04 19:01:50+00:00,3600.0,7.9,7.3,7.9,0.0,0.0,8.0,14,0.4575554733276368,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03650000,2025-09-04 20:03:42+00:00,3650.0,7.9,7.5,8.3,0.0,0.0,1.0,498,0.4511315873718262,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03700000,2025-09-05 13:34:15+00:00,3700.0,7.7,7.8,8.7,-1.1999998,-13.483145,43.0,7654,0.44460089096069333,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03750000,2025-08-28 16:59:15+00:00,3750.0,9.2,8.2,9.0,0.0,0.0,1.0,1279,0.43727674545288087,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPXW260116P03800000,2025-09-02 17:15:27+00:00,3800.0,11.55,8.7,9.4,0.0,0.0,4.0,32,0.43063923858642583,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03850000,2025-09-05 16:53:11+00:00,3850.0,9.7,9.0,9.8,0.09999943,1.0416607,1.0,677,0.4239406971740723,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03875000,2025-09-02 16:56:04+00:00,3875.0,12.25,9.2,10.1,0.0,0.0,8.0,433,0.4212246598815918,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03900000,2025-09-02 19:45:21+00:00,3900.0,11.85,9.4,10.3,0.0,0.0,4.0,1534,0.41782198394775383,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03925000,2025-09-05 16:50:03+00:00,3925.0,10.3,9.6,10.5,0.10000038,0.9803959,1.0,95,0.41441930801391597,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03950000,2025-08-26 14:32:32+00:00,3950.0,11.39,9.8,10.6,0.0,0.0,94.0,1852,0.41039102798461913,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P03975000,2025-09-02 18:56:03+00:00,3975.0,12.9,10.1,10.9,0.0,0.0,6.0,181,0.4075681802368164,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
SPX260116P04000000,2025-09-05 18:32:43+00:00,4000.0,10.78,10.3,11.1,-0.32000065,-2.8828886,105.0,16517,0.4041349870300293,False,REGULAR,USD,put,^SPX,2026-01-16,2025-09-06 12:54:51.199265,options
