contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW251006P03800000,2025-08-22 20:12:55+00:00,3800.0,0.65,0.15,0.5,0.0,0.0,3,3,0.6088906298828126,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P04000000,2025-08-22 06:43:38+00:00,4000.0,0.39,0.25,0.65,-1.16,-74.83871,2,3,0.570316796875,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P04200000,2025-09-05 14:36:03+00:00,4200.0,0.57,0.4,0.8,-0.28000003,-32.94118,7,35,0.5305222729492188,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P04400000,2025-09-05 14:50:51+00:00,4400.0,1.09,0.55,0.95,0.04000008,3.8095317,14,44,0.5003712072753908,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P04600000,2025-09-05 13:34:45+00:00,4600.0,1.4,0.9,1.25,-0.05000007,-3.4482808,34,43,0.4611870288085938,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05000000,2025-08-28 16:21:45+00:00,5000.0,2.05,1.75,2.2,-0.72,-25.99278,1,68,0.3839172937011719,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05200000,2025-09-05 20:11:14+00:00,5200.0,2.8,2.5,2.9,-0.4000001,-12.500003,122,170,0.3446415634155273,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05300000,2025-09-05 19:33:13+00:00,5300.0,3.3,2.95,3.5,-0.29999995,-8.333332,41,57,0.32709413146972655,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05400000,2025-09-05 19:59:30+00:00,5400.0,3.87,3.5,4.1,-1.23,-24.11765,4,42,0.3078682495117187,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05500000,2025-09-05 15:50:54+00:00,5500.0,5.2,4.2,4.8,0.10999966,2.1610935,1,93,0.28824564300537103,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05600000,2025-09-05 19:30:40+00:00,5600.0,5.5,5.1,5.7,-0.4000001,-6.7796626,4,128,0.26888243331909173,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05700000,2025-09-05 19:21:44+00:00,5700.0,6.7,6.2,6.9,-0.61000013,-8.344735,5,100,0.24985491363525392,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05800000,2025-09-05 18:32:52+00:00,5800.0,8.9,7.8,8.5,-0.37000084,-3.9913788,25,117,0.2309647216796875,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05900000,2025-09-05 17:32:50+00:00,5900.0,12.8,10.2,11.0,0.3000002,2.4000015,30,83,0.21352410018920898,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05925000,2025-09-05 18:26:08+00:00,5925.0,13.2,10.9,11.7,0.6999998,5.5999985,26,41,0.20887784538269039,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05950000,2025-09-05 18:23:16+00:00,5950.0,12.6,11.7,12.6,-0.6999998,-5.2631564,102,64,0.20476564285278315,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P05975000,2025-09-05 20:03:34+00:00,5975.0,13.2,12.7,13.5,-1.8000002,-12.000001,76,70,0.20033300895690917,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06000000,2025-09-05 19:49:40+00:00,6000.0,14.5,13.7,14.5,-0.8999996,-5.8441534,50,187,0.19594615097045898,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06025000,2025-09-05 18:05:25+00:00,6025.0,17.3,14.8,15.7,0.8499985,5.167164,30,23,0.19189498298645022,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06050000,2025-09-05 19:06:46+00:00,6050.0,17.23,16.0,16.9,-0.47000122,-2.655374,16,60,0.18746234909057619,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06075000,2025-09-05 08:04:43+00:00,6075.0,21.67,17.4,18.3,0.9200001,4.4337354,2,26,0.1832471507644653,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06100000,2025-09-05 19:46:52+00:00,6100.0,19.64,19.0,19.9,-1.460001,-6.919436,12,172,0.17916928016662595,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06125000,2025-09-05 15:45:32+00:00,6125.0,22.8,20.7,21.6,0.09000015,0.39630187,13,20,0.17490449127197266,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06150000,2025-09-05 20:00:10+00:00,6150.0,23.05,22.7,23.4,-1.1500015,-4.7520723,61,54,0.17043371078491215,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06175000,2025-09-05 19:36:17+00:00,6175.0,26.3,24.6,25.6,-0.45000076,-1.682246,20,40,0.16640543075561526,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06200000,2025-09-05 20:00:10+00:00,6200.0,27.4,26.9,28.0,-1.1000004,-3.8596504,234,145,0.16226271095275877,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06225000,2025-09-05 13:57:56+00:00,6225.0,27.9,29.6,30.2,-5.1600018,-15.60799,174,39,0.15715869705200197,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06250000,2025-09-05 19:16:48+00:00,6250.0,33.23,32.4,33.1,-2.2000008,-6.209429,113,42,0.15287864952087407,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06275000,2025-09-05 19:54:10+00:00,6275.0,37.8,35.4,36.2,2.6800003,7.630981,38,329,0.14832394653320313,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06300000,2025-09-05 19:52:07+00:00,6300.0,41.5,38.8,40.0,0.70000076,1.7156882,27,50,0.14429566650390624,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06325000,2025-09-05 19:59:32+00:00,6325.0,43.9,42.7,43.9,-10.399998,-19.15285,83,26,0.13966085567474368,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06350000,2025-09-05 19:30:43+00:00,6350.0,49.23,46.9,48.2,0.9599991,1.988811,328,240,0.1348658291625977,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06375000,2025-09-04 18:39:20+00:00,6375.0,55.57,51.6,52.9,1.5200005,2.8122118,9,55,0.1298114058303833,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06400000,2025-09-05 16:02:09+00:00,6400.0,64.35,56.9,58.2,7.029999,12.264479,12,53,0.12469213329315186,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06425000,2025-09-04 17:02:39+00:00,6425.0,68.34,62.8,64.2,0.0,0.0,22,50,0.11950038223266601,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06450000,2025-09-05 19:52:11+00:00,6450.0,72.68,69.6,71.0,4.4800034,6.5689197,37,24,0.11421707935333252,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06475000,2025-09-05 19:48:45+00:00,6475.0,79.0,77.4,78.8,-5.9000015,-6.949354,14,58,0.10892233249664306,False,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06500000,2025-09-05 17:50:37+00:00,6500.0,99.63,86.4,87.8,9.829994,10.946541,2,18,0.10367336154937744,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06525000,2025-08-28 13:41:29+00:00,6525.0,100.82,96.7,98.2,0.0,0.0,2,7,0.0984968691253662,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06550000,2025-09-05 17:43:11+00:00,6550.0,126.92,108.6,110.0,12.639999,11.060553,124,40,0.09314490238189697,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06600000,2025-09-05 19:59:58+00:00,6600.0,136.0,128.6,144.6,-24.919998,-15.485954,5,4,0.09206916851043702,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06650000,2025-08-29 19:11:56+00:00,6650.0,195.22,167.2,183.2,0.0,0.0,1,1,0.08958582542419433,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
SPXW251006P06700000,2025-09-04 14:38:43+00:00,6700.0,223.52,200.2,224.2,0.0,0.0,1,3,0.0813690496826172,True,REGULAR,USD,put,^SPX,2025-10-06,2025-09-06 12:54:49.048641,options
