contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW251003P02600000,2025-09-02 13:30:15+00:00,2600.0,0.15,0.0,0.2,0.0,0.0,3.0,42,0.973633076171875,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P02800000,2025-09-04 16:52:12+00:00,2800.0,0.1,0.0,0.25,0.0,0.0,7.0,88,0.91211025390625,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P03000000,2025-09-03 13:30:02+00:00,3000.0,0.1,0.0,0.25,-0.15,-60.000004,3.0,25,0.840821904296875,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P03200000,2025-09-03 13:30:02+00:00,3200.0,0.3,0.0,0.3,0.0,0.0,27.0,27,0.7836935693359376,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P03600000,2025-09-03 13:30:02+00:00,3600.0,0.5,0.2,0.4,0.0,0.0,22.0,76,0.6967803759765626,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P03800000,2025-09-05 19:06:05+00:00,3800.0,0.32,0.1,0.4,-0.030000001,-8.571429,1.0,97,0.6267127172851563,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04000000,2025-09-05 19:57:30+00:00,4000.0,0.4,0.2,0.55,-0.049999982,-11.111108,146.0,240,0.5903361279296876,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04200000,2025-09-05 14:20:29+00:00,4200.0,0.65,0.35,0.65,0.049999952,8.333325,4.0,152,0.5487105676269532,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04400000,2025-09-05 16:08:12+00:00,4400.0,0.95,0.5,0.85,0.14999998,18.749996,313.0,1332,0.5085498364257812,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04600000,2025-09-05 19:06:05+00:00,4600.0,1.02,0.75,1.15,-0.08000004,-7.272731,657.0,498,0.4808401525878906,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04800000,2025-09-05 19:52:00+00:00,4800.0,1.35,1.1,1.45,-0.14999998,-9.999999,37.0,170,0.43768872863769537,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
SPXW251003P04900000,2025-09-05 19:54:06+00:00,4900.0,1.6,1.35,1.7,-0.44999993,-21.951216,72.0,468,0.41834077758789057,False,REGULAR,USD,put,^SPX,2025-10-03,2025-09-06 12:54:48.948064,options
