contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX261218P00200000,2025-08-22 16:40:22+00:00,200.0,0.12,0.0,0.0,0.0,0.0,2.0,3240,0.500005,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P00400000,2025-09-04 19:47:17+00:00,400.0,0.31,0.05,0.5,0.0,0.0,108.0,3020,0.7763694238281251,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P00600000,2025-09-05 14:53:20+00:00,600.0,0.8,0.35,1.15,0.0,0.0,2.0,6516,0.7185086743164062,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P00800000,2025-08-20 18:03:49+00:00,800.0,1.45,0.85,1.85,0.0,0.0,300.0,1821,0.6657748266601564,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P01000000,2025-09-05 14:52:02+00:00,1000.0,2.3,1.55,2.6,0.0,0.0,2.0,4448,0.620670297241211,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P01200000,2025-09-05 14:53:20+00:00,1200.0,3.1,2.5,3.5,-0.4000001,-11.428575,2.0,196,0.5830730169677734,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P01400000,2025-08-01 18:16:44+00:00,1400.0,5.3,4.1,4.8,0.0,0.0,1.0,2817,0.5552107467651368,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P01600000,2025-09-05 15:29:53+00:00,1600.0,6.0,5.2,6.3,0.099999905,1.6949136,29.0,3752,0.5241746801757812,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P01800000,2025-08-28 19:48:34+00:00,1800.0,7.51,6.9,8.0,0.0,0.0,10.0,3076,0.5026294854736328,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P02000000,2025-08-25 15:13:19+00:00,2000.0,9.2,8.7,9.9,0.0,0.0,2.0,7061,0.47685764846801754,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P02200000,2025-09-05 13:51:42+00:00,2200.0,11.1,10.8,12.0,-0.3899994,-3.3942506,15.0,12213,0.45262693374633794,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P02400000,2025-09-04 17:55:44+00:00,2400.0,13.88,13.2,14.4,0.0,0.0,20.0,4111,0.43012807426452637,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P02500000,2025-09-04 17:55:44+00:00,2500.0,15.23,14.5,15.7,0.0,0.0,20.0,3950,0.4193325889587402,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
SPX261218P02600000,2025-08-25 15:01:22+00:00,2600.0,16.71,15.9,17.1,0.0,0.0,106.0,3514,0.40893382820129387,False,REGULAR,USD,put,^SPX,2026-12-18,2025-09-06 12:54:53.334637,options
