contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW250917C05700000,2025-08-26 16:02:33+00:00,5700.0,758.25,775.3,797.1,0.0,0.0,,1,0.47473669799804685,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C05800000,2025-08-26 16:02:33+00:00,5800.0,659.4,675.8,697.5,0.0,0.0,,1,0.42623712196350105,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06025000,2025-08-22 18:00:17+00:00,6025.0,470.24,452.3,473.4,0.0,0.0,30.0,0,0.31443709251403806,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06075000,2025-09-02 15:30:53+00:00,6075.0,326.22,402.9,426.5,0.0,0.0,1.0,1,0.3020928556060791,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06100000,2025-09-05 19:25:42+00:00,6100.0,392.44,378.3,401.9,19.269989,5.163863,3.0,2,0.290023274154663,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06125000,2025-08-21 17:05:47+00:00,6125.0,290.42,353.8,377.4,0.0,0.0,,1,0.27815968429565424,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06140000,2025-09-02 15:30:53+00:00,6140.0,267.39,339.1,362.8,0.0,0.0,2.0,2,0.2713238151550293,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06150000,2025-09-03 20:02:01+00:00,6150.0,316.1,329.3,353.0,0.0,0.0,2.0,2,0.2664486808013916,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06160000,2025-08-25 20:01:22+00:00,6160.0,309.78,319.6,343.3,0.0,0.0,,1,0.26190923645019537,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
SPXW250917C06200000,2025-09-02 15:41:53+00:00,6200.0,209.73,280.9,304.9,0.0,0.0,2.0,26,0.24465171859741214,True,REGULAR,USD,call,^SPX,2025-09-17,2025-09-06 12:54:47.115959,options
