contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW251006C06050000,2025-08-25 20:01:22+00:00,6050.0,440.78,452.8,475.9,0.0,0.0,,1,0.254813970489502,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06100000,2025-09-02 14:24:40+00:00,6100.0,357.62,405.9,429.9,0.0,0.0,2.0,22,0.24297326858520507,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06125000,2025-08-25 20:02:13+00:00,6125.0,372.72,382.7,406.7,0.0,0.0,,1,0.236236580581665,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06150000,2025-08-28 19:55:08+00:00,6150.0,403.14,359.6,383.6,0.0,0.0,,2,0.22941978473663333,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06200000,2025-08-28 19:50:52+00:00,6200.0,355.21,314.2,338.2,0.0,0.0,,1,0.21630880134582517,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06225000,2025-08-29 19:50:00+00:00,6225.0,294.31,291.8,315.7,0.0,0.0,2.0,2,0.20957974266052246,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06250000,2025-09-02 14:24:40+00:00,6250.0,230.59,269.7,292.6,0.0,0.0,4.0,5,0.20149075799942018,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06275000,2025-09-03 16:21:49+00:00,6275.0,237.11,247.9,270.3,0.0,0.0,10.0,10,0.19433827215194702,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06300000,2025-09-04 17:50:14+00:00,6300.0,242.4,226.5,247.7,0.0,0.0,1.0,7,0.18629124874114988,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06325000,2025-09-04 15:43:19+00:00,6325.0,215.83,205.4,226.4,0.0,0.0,1.0,22,0.17976436698913575,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06350000,2025-09-04 19:21:34+00:00,6350.0,189.32,184.8,200.7,-20.759995,-9.8819475,1.0,20,0.16622995643615726,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06375000,2025-09-05 18:56:42+00:00,6375.0,169.2,174.2,175.6,-7.5,-4.244482,3.0,117,0.15325057878494266,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06400000,2025-09-05 18:45:13+00:00,6400.0,150.25,154.6,156.0,-19.550003,-11.513547,10.0,103,0.1475324047660828,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06425000,2025-09-05 19:34:27+00:00,6425.0,134.8,135.6,137.1,-4.0,-2.8818443,2.0,48,0.14187907995223997,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06450000,2025-09-05 14:34:02+00:00,6450.0,116.0,117.5,118.9,9.5,8.920188,14.0,83,0.13616090593338012,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06475000,2025-09-05 19:59:41+00:00,6475.0,100.3,100.6,101.6,-9.019997,-8.251003,24.0,60,0.13050376646041867,True,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06500000,2025-09-05 19:47:31+00:00,6500.0,83.3,84.7,85.7,-15.049995,-15.302486,63.0,53,0.12541310386657714,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06525000,2025-09-05 19:46:26+00:00,6525.0,70.34,70.2,71.1,-17.36,-19.794756,55.0,128,0.12060091138839721,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06550000,2025-09-05 19:46:52+00:00,6550.0,57.2,56.9,58.3,-7.170002,-11.138732,18.0,65,0.11661459260940552,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06575000,2025-09-05 19:57:56+00:00,6575.0,44.62,45.5,46.8,-15.580002,-25.880402,15.0,18,0.11268740104675293,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06600000,2025-09-05 20:03:25+00:00,6600.0,36.63,35.8,36.5,-4.0999985,-10.066286,115.0,269,0.10857138385772706,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06625000,2025-09-05 19:59:41+00:00,6625.0,27.6,27.5,28.2,-10.4,-27.36842,187.0,71,0.10548913928985594,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06650000,2025-09-05 17:21:58+00:00,6650.0,21.04,20.6,21.8,-6.619999,-23.933475,23.0,90,0.10358943904876708,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06675000,2025-09-05 20:03:25+00:00,6675.0,15.9,15.2,16.3,-4.800001,-23.18841,47.0,18,0.10130827289581297,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06700000,2025-09-05 19:47:13+00:00,6700.0,11.5,11.0,12.0,-4.46,-27.944862,61.0,54,0.09942001663208008,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
SPXW251006C06725000,2025-09-05 19:52:03+00:00,6725.0,7.9,7.8,8.7,-4.06,-33.946487,52.0,29,0.09785219173431398,False,REGULAR,USD,call,^SPX,2025-10-06,2025-09-06 10:53:40.160187,options
