contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPX250919C00200000,2025-08-20 18:38:07+00:00,200.0,6172.24,6265.1,6289.1,0.0,0.0,1.0,38,8.19922362548828,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C00400000,2025-08-20 14:03:33+00:00,400.0,5970.75,6065.5,6089.5,0.0,0.0,1.0,12,6.41089065826416,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C00600000,2025-06-27 19:19:59+00:00,600.0,5541.54,5774.2,5798.2,0.0,0.0,3.0,9,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C00800000,2025-08-18 13:43:38+00:00,800.0,5641.3,5666.2,5690.2,0.0,0.0,1.0,8,4.784916128234864,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C01000000,2025-08-25 14:55:57+00:00,1000.0,5452.0,5466.6,5490.6,0.0,0.0,2.0,1764,4.291264401550293,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPXW250919C01200000,2025-08-18 17:47:32+00:00,1200.0,5241.62,5268.8,5290.3,0.0,0.0,1.0,4,3.85388220123291,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C01400000,2025-08-28 19:52:58+00:00,1400.0,5102.52,5067.3,5091.3,0.0,0.0,1.0,3,3.558228643493652,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C01600000,2025-06-23 15:40:02+00:00,1600.0,4392.52,4751.4,4768.8,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C01800000,2025-08-19 13:34:37+00:00,1800.0,4639.71,4668.0,4692.0,0.0,0.0,2.0,9,3.020021981201172,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02000000,2025-09-05 20:01:54+00:00,2000.0,4480.72,4468.4,4492.4,8.130371,0.18178217,1.0,1651,2.7974883578491214,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02200000,2025-08-22 14:01:48+00:00,2200.0,4247.46,4268.8,4292.8,0.0,0.0,1.0,1,2.5961949157714845,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02300000,2025-08-05 16:19:31+00:00,2300.0,4009.39,4168.9,4192.9,0.0,0.0,2.0,24,2.4990271899414065,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02400000,2025-08-13 16:07:15+00:00,2400.0,4057.41,4069.1,4093.1,0.0,0.0,20.0,330,2.4091226295471193,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02500000,2025-08-19 18:30:24+00:00,2500.0,3909.63,3969.3,3993.3,0.0,0.0,1.0,2,2.322758099365234,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02600000,2025-08-20 19:17:02+00:00,2600.0,3798.72,3869.5,3893.5,0.0,0.0,1.0,1,2.2396284243774414,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02700000,2025-08-22 14:00:31+00:00,2700.0,3734.09,3769.7,3793.7,0.0,0.0,1.0,2,1.3867218164062498,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPXW250919C02800000,2025-08-22 13:59:45+00:00,2800.0,3602.64,3671.7,3693.2,0.0,0.0,1.0,3,1.527101973876953,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C02900000,2025-08-22 14:42:42+00:00,2900.0,3565.06,3570.0,3594.0,0.0,0.0,1.0,30,1.3813507495117183,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPXW250919C03000000,2025-05-27 14:50:28+00:00,3000.0,2925.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03100000,2025-08-22 13:58:16+00:00,3100.0,3303.72,3370.4,3394.4,0.0,0.0,1.0,1,1.3444856994628904,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPXW250919C03200000,2025-08-18 18:25:56+00:00,3200.0,3251.28,3272.5,3293.9,0.0,0.0,,1,1.376956240234375,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03250000,2025-07-16 14:43:21+00:00,3250.0,3010.18,3191.2,3215.2,0.0,0.0,30.0,127,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03300000,2025-08-20 14:28:49+00:00,3300.0,3064.3,3170.8,3194.8,0.0,0.0,1.0,2,1.2839391271972653,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03400000,2025-07-18 19:49:55+00:00,3400.0,2910.12,3041.9,3065.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03450000,2025-05-09 14:37:02+00:00,3450.0,2240.2,2573.9,2597.9,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03500000,2025-08-20 14:26:30+00:00,3500.0,2870.34,2971.1,2995.1,0.0,0.0,2.0,151,1.2055703784179688,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03550000,2025-07-11 16:01:04+00:00,3550.0,2731.21,2848.5,2872.5,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03600000,2025-08-13 16:22:36+00:00,3600.0,2861.13,2871.3,2895.3,0.0,0.0,16.0,16,1.1694377465820311,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPXW250919C03700000,2025-08-14 19:57:41+00:00,3700.0,2780.69,2773.4,2794.9,0.0,0.0,12.0,12,1.1700480950927734,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03750000,2025-05-27 17:50:12+00:00,3750.0,2212.69,2430.0,2468.7,0.0,0.0,1.0,218,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03800000,2025-05-22 16:11:14+00:00,3800.0,2106.57,2198.1,2222.1,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03825000,2024-10-28 18:00:29+00:00,3825.0,2155.73,2292.2,2325.2,0.0,0.0,,52,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
SPX250919C03850000,2024-10-28 18:03:06+00:00,3850.0,2132.24,2268.6,2301.7,0.0,0.0,,8,1.0000000000000003e-05,True,REGULAR,USD,call,^SPX,2025-09-19,2025-09-06 10:53:38.775923,options
