contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Symbol,Expiry,Fetched_At,Data_Type
SPXW250916P03000000,2025-08-15 14:08:46+00:00,3000.0,0.1,0.0,0.1,0.0,0.0,,75,1.2578162109375,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P03200000,2025-08-21 14:00:21+00:00,3200.0,0.12,0.0,0.15,0.0,0.0,,2,1.189457177734375,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P03400000,2025-08-20 13:42:34+00:00,3400.0,0.15,0.0,0.15,0.0,0.0,25.0,26,1.091801416015625,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P03600000,2025-08-25 19:22:59+00:00,3600.0,0.1,0.0,0.15,0.0,0.0,,3,0.999023447265625,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P03800000,2025-08-26 13:54:03+00:00,3800.0,0.15,0.0,0.15,0.0,0.0,2.0,106,0.91211025390625,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P04000000,2025-09-04 06:29:37+00:00,4000.0,0.05,0.0,0.15,0.0,0.0,5.0,22,0.8281267187499999,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P04200000,2025-08-26 18:27:06+00:00,4200.0,0.35,0.0,0.2,0.0,0.0,3.0,7,0.7656273437500001,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P04400000,2025-09-05 14:35:49+00:00,4400.0,0.1,0.0,0.2,-0.35,-77.77778,2.0,163,0.6875031250000001,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P04600000,2025-09-05 18:45:50+00:00,4600.0,0.16,0.0,0.25,-0.040000007,-20.000004,203.0,774,0.624027197265625,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P04800000,2025-09-05 19:31:13+00:00,4800.0,0.2,0.0,0.25,-0.049999997,-19.999998,43.0,376,0.551762294921875,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P05000000,2025-09-05 18:44:51+00:00,5000.0,0.3,0.1,0.4,-0.099999994,-24.999998,9.0,388,0.5109912182617188,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
SPXW250916P05100000,2025-09-05 19:06:48+00:00,5100.0,0.4,0.15,0.45,-0.049999982,-11.111108,309.0,644,0.5022022436523439,False,REGULAR,USD,put,^SPX,2025-09-16,2025-09-06 10:53:38.140715,options
